Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 0.3446
0.0200 0.0001 0.3662
0.0400 0.0021 0.4343
0.0600 0.0098 0.4696
0.0800 0.0217 0.4407
0.1000 0.0342 0.4753
0.1200 0.0468 0.5158
0.1400 0.0602 0.4814
0.1600 0.0742 0.4680
0.1800 0.0884 0.4730
0.2000 0.1023 0.4482
0.2200 0.1159 0.4519
0.2400 0.1293 0.4637
0.2600 0.1426 0.4425
0.2800 0.1559 0.4505
0.3000 0.1693 0.4530
0.3200 0.1827 0.4420
0.3400 0.1960 0.4590
0.3600 0.2093 0.4527
0.3800 0.2227 0.4480
0.4000 0.2360 0.4484
0.4200 0.2493 0.4402
0.4400 0.2626 0.4480
0.4600 0.2760 0.4414
0.4800 0.2893 0.4415
0.5000 0.3027 0.4363
0.5200 0.3160 0.4403
0.5400 0.3293 0.4326
0.5600 0.3426 0.4406
0.5800 0.3560 0.4369
0.6000 0.3694 0.4271
0.6200 0.3827 0.4448
0.6400 0.3960 0.4405
0.6600 0.4094 0.4272
0.6800 0.4228 0.4443
0.7000 0.4361 0.4351
0.7200 0.4494 0.4254
0.7400 0.4627 0.4438
0.7600 0.4760 0.4382
0.7800 0.4894 0.4227
0.8000 0.5027 0.4410
0.8200 0.5160 0.4317
0.8400 0.5294 0.4220
0.8600 0.5427 0.4382
0.8800 0.5560 0.4239
0.9000 0.5693 0.4231
0.9200 0.5826 0.4391
0.9400 0.5959 0.4234
0.9600 0.6093 0.4147
0.9800 0.6226 0.4264
1.0000 0.6360 0.4213
1.0200 0.6494 0.4187
1.0400 0.6627 0.4252
1.0600 0.6761 0.4192
1.0800 0.6894 0.4115
1.1000 0.7027 0.4237
1.1200 0.7160 0.4176
1.1400 0.7294 0.4178
1.1600 0.7427 0.4266
1.1800 0.7560 0.4178
1.2000 0.7693 0.4074
1.2200 0.7827 0.4183
1.2400 0.7960 0.4146
1.2600 0.8093 0.4101
1.2800 0.8226 0.4148
1.3000 0.8360 0.4137
1.3200 0.8493 0.4051
1.3400 0.8626 0.4120
1.3600 0.8760 0.4127
1.3800 0.8893 0.4109
1.4000 0.9027 0.4163
1.4200 0.9160 0.4049
1.4400 0.9293 0.4109
1.4600 0.9427 0.4105
1.4800 0.9561 0.4001
1.5000 0.9694 0.4047
1.5200 0.9827 0.4078
1.5400 0.9960 0.4069
1.5600 1.0093 0.4105
1.5800 1.0226 0.4015
1.6000 1.0359 0.4062
1.6200 1.0493 0.4021
1.6400 1.0626 0.3983
1.6600 1.0759 0.4009
1.6800 1.0893 0.3993
1.7000 1.1026 0.3916
1.7200 1.1160 0.4026
1.7400 1.1294 0.3948
1.7600 1.1428 0.3928
1.7800 1.1561 0.4002
1.8000 1.1694 0.3919
1.8200 1.1827 0.3883
1.8400 1.1960 0.4016
1.8600 1.2094 0.3936
1.8800 1.2227 0.3922
1.9000 1.2360 0.3961
1.9200 1.2493 0.3914
1.9400 1.2627 0.3898
1.9600 1.2760 0.3944
1.9800 1.2893 0.3835
2.0000 1.3026 0.3859
2.0200 1.3160 0.3903
2.0400 1.3293 0.3779
2.0600 1.3426 0.3865
2.0800 1.3560 0.3863
2.1000 1.3693 0.3772
2.1200 1.3827 0.3844
2.1400 1.3961 0.3820
2.1600 1.4094 0.3676
2.1800 1.4227 0.3846
2.2000 1.4361 0.3843
2.2200 1.4494 0.3719
2.2400 1.4627 0.3863
2.2600 1.4760 0.3889
2.2800 1.4893 0.3646
2.3000 1.5026 0.3850
2.3200 1.5160 0.3819
2.3400 1.5293 0.3699
2.3600 1.5426 0.3800
2.3800 1.5560 0.3776
2.4000 1.5694 0.3675
2.4200 1.5827 0.3757
2.4400 1.5960 0.3777
2.4600 1.6093 0.3685
2.4800 1.6227 0.3730
2.5000 1.6360 0.3763
2.5200 1.6493 0.3653
2.5400 1.6626 0.3761
2.5600 1.6760 0.3750
2.5800 1.6894 0.3593
2.6000 1.7027 0.3669
2.6200 1.7160 0.3720
2.6400 1.7294 0.3634
2.6600 1.7427 0.3687
2.6800 1.7561 0.3707
2.7000 1.7693 0.3577
2.7200 1.7826 0.3704
2.7400 1.7960 0.3679
2.7600 1.8093 0.3599
2.7800 1.8226 0.3682
2.8000 1.8359 0.3619
2.8200 1.8493 0.3620
2.8400 1.8627 0.3623
2.8600 1.8760 0.3606
2.8800 1.8894 0.3679
2.9000 1.9027 0.3589
2.9200 1.9160 0.3618
2.9400 1.9294 0.3605
2.9600 1.9427 0.3650
2.9800 1.9560 0.3604
3.0000 1.9693 0.3572
3.0200 1.9827 0.3539
3.0400 1.9960 0.3566
3.0600 2.0093 0.3528
3.0800 2.0226 0.3520
3.1000 2.0359 0.3582
3.1200 2.0493 0.3467
3.1400 2.0626 0.3441
3.1600 2.0760 0.3574
3.1800 2.0893 0.3496
3.2000 2.1027 0.3508
3.2200 2.1161 0.3530
3.2400 2.1294 0.3438
3.2600 2.1427 0.3492
3.2800 2.1561 0.3445
3.3000 2.1694 0.3421
3.3200 2.1827 0.3472
3.3400 2.1960 0.3524
3.3600 2.2093 0.3370
3.3800 2.2227 0.3463
3.4000 2.2360 0.3470
3.4200 2.2493 0.3462
3.4400 2.2626 0.3432
3.4600 2.2760 0.3422
3.4800 2.2893 0.3393
3.5000 2.3027 0.3399
3.5200 2.3160 0.3386
3.5400 2.3293 0.3424
3.5600 2.3427 0.3335
3.5800 2.3560 0.3385
3.6000 2.3694 0.3389
3.6200 2.3827 0.3375
3.6400 2.3961 0.3454
3.6600 2.4094 0.3369
3.6800 2.4227 0.3316
3.7000 2.4360 0.3410
3.7200 2.4493 0.3330
3.7400 2.4627 0.3299
3.7600 2.4760 0.3403
3.7800 2.4893 0.3279
3.8000 2.5026 0.3311
3.8200 2.5159 0.3405
3.8400 2.5293 0.3242
3.8600 2.5426 0.3342
3.8800 2.5560 0.3381
3.9000 2.5693 0.3178
3.9200 2.5827 0.3327
3.9400 2.5961 0.3274
3.9600 2.6094 0.3221
3.9800 2.6227 0.3320
4.0000 2.6360 0.3259
4.0200 2.6494 0.3216
4.0400 2.6627 0.3347
4.0600 2.6760 0.3248
4.0800 2.6893 0.3278
4.1000 2.7027 0.3330
4.1200 2.7160 0.3194
4.1400 2.7293 0.3229
4.1600 2.7426 0.3265
4.1800 2.7560 0.3124
4.2000 2.7693 0.3308
4.2200 2.7826 0.3256
4.2400 2.7959 0.3130
4.2600 2.8093 0.3283
4.2800 2.8227 0.3207
4.3000 2.8361 0.3178
4.3200 2.8494 0.3330
4.3400 2.8627 0.3144
4.3600 2.8761 0.3116
4.3800 2.8894 0.3280
4.4000 2.9027 0.3115
4.4200 2.9160 0.3172
4.4400 2.9293 0.3281
4.4600 2.9427 0.3069
4.4800 2.9560 0.3150
4.5000 2.9693 0.3287
4.5200 2.9826 0.3104
4.5400 2.9960 0.3195
4.5600 3.0093 0.3225
4.5800 3.0227 0.3081
4.6000 3.0360 0.3128
4.6200 3.0493 0.3145
4.6400 3.0627 0.3088
4.6600 3.0760 0.3126
4.6800 3.0893 0.3089
4.7000 3.1027 0.3145
4.7200 3.1160 0.3141
4.7400 3.1294 0.3097
4.7600 3.1427 0.3147
4.7800 3.1561 0.3112
4.8000 3.1694 0.3079
4.8200 3.1827 0.3130
4.8400 3.1961 0.3053
4.8600 3.2094 0.3050
4.8800 3.2226 0.3150
4.9000 3.2359 0.3039
4.9200 3.2492 0.3078
4.9400 3.2626 0.3135
4.9600 3.2759 0.3099
4.9800 3.2893 0.3102
5.0000 3.3027 0.3088
5.0200 3.3161 0.2997
5.0400 3.3294 0.3077
5.0600 3.3428 0.3058
5.0800 3.3561 0.2990
5.1000 3.3694 0.3093
5.1200 3.3827 0.3004
5.1400 3.3960 0.2943
5.1600 3.4093 0.3163
5.1800 3.4226 0.3096
5.2000 3.4360 0.2951
5.2200 3.4493 0.3127
5.2400 3.4626 0.3031
5.2600 3.4759 0.2893
5.2800 3.4893 0.3076
5.3000 3.5026 0.2931
5.3200 3.5160 0.2897
5.3400 3.5293 0.3087
5.3600 3.5427 0.2888
5.3800 3.5561 0.2882
5.4000 3.5694 0.3091
5.4200 3.5827 0.2963
5.4400 3.5960 0.2910
5.4600 3.6094 0.2994
5.4800 3.6227 0.2870
5.5000 3.6360 0.2854
5.5200 3.6493 0.2984
5.5400 3.6627 0.2879
5.5600 3.6760 0.2860
5.5800 3.6893 0.2994
5.6000 3.7026 0.2828
5.6200 3.7159 0.2919
