Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0000 -0.0037
0.0200 0.0001 -0.0008
0.0400 0.0018 0.0096
0.0600 0.0088 0.0095
0.0800 0.0202 0.0022
0.1000 0.0325 0.0066
0.1200 0.0450 0.0072
0.1400 0.0584 0.0154
0.1600 0.0727 0.0112
0.1800 0.0870 0.0174
0.2000 0.1010 0.0154
0.2200 0.1146 0.0215
0.2400 0.1280 0.0218
0.2600 0.1413 0.0266
0.2800 0.1546 0.0272
0.3000 0.1679 0.0299
0.3200 0.1813 0.0330
0.3400 0.1947 0.0336
0.3600 0.2080 0.0376
0.3800 0.2213 0.0394
0.4000 0.2346 0.0433
0.4200 0.2480 0.0426
0.4400 0.2613 0.0478
0.4600 0.2746 0.0463
0.4800 0.2880 0.0521
0.5000 0.3013 0.0510
0.5200 0.3147 0.0560
0.5400 0.3281 0.0555
0.5600 0.3414 0.0604
0.5800 0.3547 0.0608
0.6000 0.3681 0.0634
0.6200 0.3814 0.0654
0.6400 0.3947 0.0672
0.6600 0.4080 0.0692
0.6800 0.4213 0.0720
0.7000 0.4346 0.0728
0.7200 0.4480 0.0752
0.7400 0.4613 0.0780
0.7600 0.4746 0.0799
0.7800 0.4880 0.0816
0.8000 0.5013 0.0839
0.8200 0.5147 0.0861
0.8400 0.5280 0.0867
0.8600 0.5414 0.0906
0.8800 0.5548 0.0907
0.9000 0.5681 0.0941
0.9200 0.5814 0.0945
0.9400 0.5947 0.0989
0.9600 0.6081 0.0976
0.9800 0.6214 0.1028
1.0000 0.6347 0.1013
1.0200 0.6480 0.1057
1.0400 0.6613 0.1060
1.0600 0.6746 0.1086
1.0800 0.6880 0.1096
1.1000 0.7013 0.1127
1.1200 0.7146 0.1146
1.1400 0.7280 0.1145
1.1600 0.7413 0.1193
1.1800 0.7547 0.1174
1.2000 0.7680 0.1229
1.2200 0.7813 0.1215
1.2400 0.7947 0.1265
1.2600 0.8080 0.1249
1.2800 0.8214 0.1302
1.3000 0.8347 0.1294
1.3200 0.8481 0.1331
1.3400 0.8614 0.1337
1.3600 0.8747 0.1362
1.3800 0.8880 0.1367
1.4000 0.9014 0.1399
1.4200 0.9147 0.1415
1.4400 0.9281 0.1426
1.4600 0.9413 0.1447
1.4800 0.9546 0.1477
1.5000 0.9679 0.1476
1.5200 0.9813 0.1510
1.5400 0.9946 0.1514
1.5600 1.0079 0.1537
1.5800 1.0213 0.1545
1.6000 1.0347 0.1576
1.6200 1.0481 0.1581
1.6400 1.0614 0.1610
1.6600 1.0747 0.1629
1.6800 1.0881 0.1623
1.7000 1.1015 0.1667
1.7200 1.1148 0.1665
1.7400 1.1280 0.1701
1.7600 1.1413 0.1702
1.7800 1.1547 0.1734
1.8000 1.1680 0.1736
1.8200 1.1813 0.1765
1.8400 1.1946 0.1781
1.8600 1.2079 0.1780
1.8800 1.2213 0.1819
1.9000 1.2346 0.1817
1.9200 1.2480 0.1851
1.9400 1.2614 0.1854
1.9600 1.2747 0.1898
1.9800 1.2881 0.1874
2.0000 1.3014 0.1928
2.0200 1.3147 0.1922
2.0400 1.3281 0.1955
2.0600 1.3414 0.1951
2.0800 1.3547 0.1987
2.1000 1.3680 0.1987
2.1200 1.3813 0.2012
2.1400 1.3947 0.2036
2.1600 1.4080 0.2026
2.1800 1.4213 0.2077
2.2000 1.4346 0.2066
2.2200 1.4480 0.2090
2.2400 1.4613 0.2101
2.2600 1.4747 0.2130
2.2800 1.4880 0.2130
2.3000 1.5013 0.2162
2.3200 1.5147 0.2162
2.3400 1.5281 0.2192
2.3600 1.5414 0.2192
2.3800 1.5547 0.2229
2.4000 1.5681 0.2214
2.4200 1.5814 0.2255
2.4400 1.5947 0.2250
2.4600 1.6080 0.2278
2.4800 1.6213 0.2288
2.5000 1.6346 0.2323
2.5200 1.6479 0.2305
2.5400 1.6612 0.2348
2.5600 1.6746 0.2347
2.5800 1.6879 0.2368
2.6000 1.7013 0.2380
2.6200 1.7147 0.2393
2.6400 1.7280 0.2416
2.6600 1.7414 0.2415
2.6800 1.7548 0.2458
2.7000 1.7681 0.2433
2.7200 1.7814 0.2481
2.7400 1.7947 0.2479
2.7600 1.8081 0.2505
2.7800 1.8214 0.2509
2.8000 1.8347 0.2538
2.8200 1.8480 0.2538
2.8400 1.8613 0.2557
2.8600 1.8747 0.2579
2.8800 1.8880 0.2573
2.9000 1.9013 0.2612
2.9200 1.9146 0.2601
2.9400 1.9280 0.2642
2.9600 1.9413 0.2626
2.9800 1.9547 0.2683
3.0000 1.9680 0.2653
3.0200 1.9813 0.2703
3.0400 1.9947 0.2690
3.0600 2.0081 0.2726
3.0800 2.0214 0.2721
3.1000 2.0347 0.2769
3.1200 2.0480 0.2745
3.1400 2.0614 0.2785
3.1600 2.0747 0.2781
3.1800 2.0880 0.2809
3.2000 2.1013 0.2812
3.2200 2.1147 0.2844
3.2400 2.1281 0.2828
3.2600 2.1414 0.2867
3.2800 2.1547 0.2869
3.3000 2.1680 0.2890
3.3200 2.1813 0.2899
3.3400 2.1947 0.2920
3.3600 2.2080 0.2925
3.3800 2.2213 0.2932
3.4000 2.2347 0.2971
3.4200 2.2480 0.2950
3.4400 2.2614 0.2995
3.4600 2.2747 0.2975
3.4800 2.2880 0.3024
3.5000 2.3014 0.2997
3.5200 2.3147 0.3055
3.5400 2.3280 0.3029
3.5600 2.3413 0.3078
3.5800 2.3547 0.3070
3.6000 2.3680 0.3083
3.6200 2.3813 0.3106
3.6400 2.3946 0.3111
3.6600 2.4079 0.3140
3.6800 2.4213 0.3123
3.7000 2.4346 0.3176
3.7200 2.4479 0.3146
3.7400 2.4613 0.3194
3.7600 2.4747 0.3176
3.7800 2.4881 0.3207
3.8000 2.5014 0.3210
3.8200 2.5148 0.3238
3.8400 2.5281 0.3234
3.8600 2.5414 0.3259
3.8800 2.5547 0.3277
3.9000 2.5680 0.3277
3.9200 2.5813 0.3300
3.9400 2.5946 0.3301
3.9600 2.6080 0.3329
3.9800 2.6213 0.3318
4.0000 2.6346 0.3365
4.0200 2.6480 0.3347
4.0400 2.6613 0.3380
4.0600 2.6747 0.3383
4.0800 2.6880 0.3400
4.1000 2.7013 0.3403
4.1200 2.7147 0.3431
4.1400 2.7281 0.3411
4.1600 2.7414 0.3455
4.1800 2.7547 0.3446
4.2000 2.7680 0.3489
4.2200 2.7814 0.3461
4.2400 2.7947 0.3517
4.2600 2.8080 0.3495
4.2800 2.8213 0.3531
4.3000 2.8347 0.3538
4.3200 2.8480 0.3549
4.3400 2.8613 0.3564
4.3600 2.8746 0.3578
4.3800 2.8880 0.3591
4.4000 2.9013 0.3588
4.4200 2.9147 0.3622
4.4400 2.9280 0.3598
4.4600 2.9414 0.3642
4.4800 2.9547 0.3624
4.5000 2.9681 0.3672
4.5200 2.9814 0.3653
4.5400 2.9947 0.3695
4.5600 3.0080 0.3686
4.5800 3.0214 0.3701
4.6000 3.0347 0.3726
4.6200 3.0480 0.3718
4.6400 3.0613 0.3752
4.6600 3.0747 0.3751
4.6800 3.0880 0.3782
4.7000 3.1013 0.3768
4.7200 3.1146 0.3816
4.7400 3.1280 0.3802
4.7600 3.1413 0.3825
4.7800 3.1547 0.3831
4.8000 3.1680 0.3859
4.8200 3.1814 0.3854
4.8400 3.1947 0.3882
4.8600 3.2081 0.3882
4.8800 3.2214 0.3894
4.9000 3.2347 0.3914
4.9200 3.2480 0.3919
4.9400 3.2613 0.3924
4.9600 3.2747 0.3943
4.9800 3.2880 0.3954
5.0000 3.3013 0.3964
5.0200 3.3147 0.3980
5.0400 3.3280 0.3987
5.0600 3.3414 0.3992
5.0800 3.3547 0.3997
5.1000 3.3680 0.4018
5.1200 3.3813 0.4005
5.1400 3.3947 0.4053
5.1600 3.4080 0.4032
5.1800 3.4213 0.4083
5.2000 3.4347 0.4057
5.2200 3.4481 0.4111
5.2400 3.4614 0.4069
5.2600 3.4747 0.4142
5.2800 3.4880 0.4103
5.3000 3.5014 0.4149
5.3200 3.5148 0.4134
5.3400 3.5281 0.4173
5.3600 3.5414 0.4161
5.3800 3.5547 0.4190
5.4000 3.5680 0.4192
5.4200 3.5813 0.4197
5.4400 3.5946 0.4232
5.4600 3.6080 0.4217
5.4800 3.6213 0.4252
5.5000 3.6346 0.4240
5.5200 3.6479 0.4285
5.5400 3.6613 0.4259
5.5600 3.6747 0.4303
5.5800 3.6881 0.4284
5.6000 3.7014 0.4312
5.6200 3.7147 0.4308
