Raw Data
Time Displacement Force
(s) (mm) (N)
0.0000 0.0001 0.0485
0.0200 0.0001 0.0622
0.0400 0.0008 0.0893
0.0600 0.0041 0.0955
0.0800 0.0096 0.0593
0.1000 0.0154 0.0547
0.1200 0.0213 0.0701
0.1400 0.0279 0.0723
0.1600 0.0352 0.0577
0.1800 0.0426 0.0592
0.2000 0.0497 0.0553
0.2200 0.0566 0.0592
0.2400 0.0633 0.0603
0.2600 0.0700 0.0584
0.2800 0.0766 0.0685
0.3000 0.0833 0.0624
0.3200 0.0901 0.0594
0.3400 0.0968 0.0689
0.3600 0.1035 0.0626
0.3800 0.1101 0.0695
0.4000 0.1167 0.0737
0.4200 0.1234 0.0669
0.4400 0.1301 0.0726
0.4600 0.1368 0.0748
0.4800 0.1435 0.0703
0.5000 0.1502 0.0782
0.5200 0.1569 0.0786
0.5400 0.1635 0.0723
0.5600 0.1701 0.0845
0.5800 0.1767 0.0844
0.6000 0.1834 0.0742
0.6200 0.1901 0.0881
0.6400 0.1968 0.0894
0.6600 0.2035 0.0780
0.6800 0.2102 0.0952
0.7000 0.2168 0.0907
0.7200 0.2235 0.0784
0.7400 0.2301 0.0958
0.7600 0.2367 0.0984
0.7800 0.2434 0.0884
0.8000 0.2501 0.1037
0.8200 0.2568 0.0926
0.8400 0.2635 0.0912
0.8600 0.2701 0.1036
0.8800 0.2768 0.0972
0.9000 0.2835 0.0965
0.9200 0.2901 0.1045
0.9400 0.2967 0.0999
0.9600 0.3034 0.0958
0.9800 0.3101 0.1065
1.0000 0.3168 0.1021
1.0200 0.3234 0.0919
1.0400 0.3301 0.1051
1.0600 0.3368 0.1017
1.0800 0.3434 0.0972
1.1000 0.3500 0.1043
1.1200 0.3567 0.1012
1.1400 0.3634 0.0971
1.1600 0.3701 0.1067
1.1800 0.3768 0.1011
1.2000 0.3835 0.0922
1.2200 0.3902 0.1007
1.2400 0.3969 0.0955
1.2600 0.4035 0.0909
1.2800 0.4101 0.0972
1.3000 0.4168 0.0997
1.3200 0.4235 0.0931
1.3400 0.4301 0.0946
1.3600 0.4368 0.0916
1.3800 0.4435 0.0924
1.4000 0.4502 0.0897
1.4200 0.4569 0.0885
1.4400 0.4635 0.0905
1.4600 0.4701 0.0851
1.4800 0.4767 0.0903
1.5000 0.4833 0.0919
1.5200 0.4901 0.0807
1.5400 0.4968 0.0888
1.5600 0.5035 0.0833
1.5800 0.5101 0.0794
1.6000 0.5168 0.0884
1.6200 0.5235 0.0816
1.6400 0.5301 0.0742
1.6600 0.5367 0.0921
1.6800 0.5434 0.0790
1.7000 0.5501 0.0707
1.7200 0.5568 0.0860
1.7400 0.5635 0.0780
1.7600 0.5701 0.0700
1.7800 0.5768 0.0829
1.8000 0.5835 0.0693
1.8200 0.5901 0.0672
1.8400 0.5968 0.0812
1.8600 0.6034 0.0709
1.8800 0.6101 0.0697
1.9000 0.6168 0.0758
1.9200 0.6235 0.0679
1.9400 0.6302 0.0714
1.9600 0.6369 0.0702
1.9800 0.6435 0.0654
2.0000 0.6501 0.0764
2.0200 0.6567 0.0665
2.0400 0.6634 0.0606
2.0600 0.6701 0.0743
2.0800 0.6768 0.0656
2.1000 0.6835 0.0617
2.1200 0.6902 0.0743
2.1400 0.6969 0.0588
2.1600 0.7035 0.0663
2.1800 0.7101 0.0671
2.2000 0.7167 0.0591
2.2200 0.7234 0.0675
2.2400 0.7301 0.0724
2.2600 0.7368 0.0584
2.2800 0.7435 0.0590
2.3000 0.7501 0.0696
2.3200 0.7568 0.0603
2.3400 0.7635 0.0589
2.3600 0.7701 0.0681
2.3800 0.7767 0.0552
2.4000 0.7834 0.0649
2.4200 0.7901 0.0657
2.4400 0.7968 0.0565
2.4600 0.8035 0.0611
2.4800 0.8101 0.0665
2.5000 0.8169 0.0603
2.5200 0.8235 0.0562
2.5400 0.8301 0.0583
2.5600 0.8367 0.0605
2.5800 0.8434 0.0624
2.6000 0.8501 0.0542
2.6200 0.8569 0.0538
2.6400 0.8636 0.0673
2.6600 0.8702 0.0516
2.6800 0.8769 0.0535
2.7000 0.8835 0.0664
2.7200 0.8901 0.0580
2.7400 0.8967 0.0535
2.7600 0.9034 0.0587
2.7800 0.9101 0.0564
2.8000 0.9168 0.0498
2.8200 0.9235 0.0655
2.8400 0.9302 0.0518
2.8600 0.9369 0.0525
2.8800 0.9435 0.0616
2.9000 0.9501 0.0500
2.9200 0.9567 0.0542
2.9400 0.9634 0.0588
2.9600 0.9701 0.0488
2.9800 0.9768 0.0491
3.0000 0.9835 0.0543
3.0200 0.9902 0.0530
3.0400 0.9969 0.0442
3.0600 1.0035 0.0549
3.0800 1.0101 0.0464
3.1000 1.0167 0.0472
3.1200 1.0233 0.0556
3.1400 1.0301 0.0430
3.1600 1.0368 0.0440
3.1800 1.0435 0.0534
3.2000 1.0501 0.0455
3.2200 1.0568 0.0413
3.2400 1.0635 0.0545
3.2600 1.0701 0.0478
3.2800 1.0767 0.0390
3.3000 1.0834 0.0495
3.3200 1.0901 0.0446
3.3400 1.0968 0.0392
3.3600 1.1035 0.0500
3.3800 1.1102 0.0452
3.4000 1.1169 0.0389
3.4200 1.1236 0.0481
3.4400 1.1302 0.0422
3.4600 1.1368 0.0351
3.4800 1.1434 0.0508
3.5000 1.1501 0.0407
3.5200 1.1568 0.0367
3.5400 1.1635 0.0479
3.5600 1.1702 0.0437
3.5800 1.1769 0.0376
3.6000 1.1835 0.0431
3.6200 1.1901 0.0411
3.6400 1.1967 0.0417
3.6600 1.2034 0.0432
3.6800 1.2101 0.0393
3.7000 1.2168 0.0332
3.7200 1.2235 0.0442
3.7400 1.2302 0.0414
3.7600 1.2368 0.0364
3.7800 1.2435 0.0440
3.8000 1.2501 0.0414
3.8200 1.2567 0.0319
3.8400 1.2634 0.0498
3.8600 1.2701 0.0376
3.8800 1.2768 0.0326
3.9000 1.2835 0.0438
3.9200 1.2901 0.0389
3.9400 1.2968 0.0315
3.9600 1.3035 0.0431
3.9800 1.3101 0.0401
4.0000 1.3167 0.0319
4.0200 1.3234 0.0467
4.0400 1.3301 0.0392
4.0600 1.3368 0.0314
4.0800 1.3435 0.0424
4.1000 1.3502 0.0369
4.1200 1.3569 0.0294
4.1400 1.3635 0.0447
4.1600 1.3701 0.0374
4.1800 1.3767 0.0325
4.2000 1.3834 0.0442
4.2200 1.3901 0.0396
4.2400 1.3968 0.0271
4.2600 1.4035 0.0443
4.2800 1.4102 0.0351
4.3000 1.4169 0.0316
4.3200 1.4235 0.0441
4.3400 1.4301 0.0391
4.3600 1.4367 0.0326
4.3800 1.4434 0.0449
4.4000 1.4501 0.0334
4.4200 1.4568 0.0309
4.4400 1.4635 0.0390
4.4600 1.4701 0.0359
4.4800 1.4768 0.0297
4.5000 1.4835 0.0383
4.5200 1.4901 0.0320
4.5400 1.4967 0.0357
4.5600 1.5034 0.0388
4.5800 1.5101 0.0276
4.6000 1.5168 0.0330
4.6200 1.5235 0.0364
4.6400 1.5302 0.0282
4.6600 1.5368 0.0339
4.6800 1.5435 0.0351
4.7000 1.5501 0.0260
4.7200 1.5567 0.0360
4.7400 1.5634 0.0327
4.7600 1.5701 0.0275
4.7800 1.5768 0.0327
4.8000 1.5835 0.0309
4.8200 1.5902 0.0294
4.8400 1.5969 0.0319
4.8600 1.6035 0.0252
4.8800 1.6102 0.0315
4.9000 1.6168 0.0275
4.9200 1.6234 0.0275
4.9400 1.6301 0.0315
4.9600 1.6368 0.0310
4.9800 1.6435 0.0274
5.0000 1.6502 0.0295
5.0200 1.6569 0.0240
5.0400 1.6636 0.0253
5.0600 1.6702 0.0233
5.0800 1.6768 0.0240
5.1000 1.6834 0.0274
5.1200 1.6900 0.0241
5.1400 1.6968 0.0218
5.1600 1.7035 0.0260
5.1800 1.7102 0.0179
5.2000 1.7169 0.0279
5.2200 1.7235 0.0244
5.2400 1.7302 0.0138
5.2600 1.7367 0.0228
5.2800 1.7434 0.0257
5.3000 1.7500 0.0172
5.3200 1.7568 0.0257
5.3400 1.7635 0.0231
5.3600 1.7701 0.0125
5.3800 1.7768 0.0269
5.4000 1.7835 0.0246
5.4200 1.7901 0.0093
5.4400 1.7967 0.0247
5.4600 1.8034 0.0234
5.4800 1.8101 0.0029
5.5000 1.8168 0.0237
5.5200 1.8235 0.0248
5.5400 1.8302 0.0007
5.5600 1.8369 0.0286
5.5800 1.8436 0.0158
5.6000 1.8502 -0.0073
5.6200 1.8568 0.0357
